"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"file_1_file_1_jg2645",1696.14305342425,-3.08329733475535,0.595728600575851,-5.17567451315067,2.27089052787935e-07,5.65895478671544e-06
"file_1_file_1_jg1141",23.6327856756394,4.84670713777843,0.937915377819956,5.16753137052074,2.37206162499889e-07,5.84389727613363e-06
"file_1_file_1_jg1829",95.1195848431346,4.39613713207135,0.852362240799395,5.15759253712177,2.50145233175212e-07,6.09342545532426e-06
"file_1_file_1_jg2485",7893.41365632938,-1.58957618875901,0.308358662011221,-5.15495876908805,2.53686741895977e-07,6.11103173811642e-06
"file_1_file_1_jg2619",54.152505023242,-4.59399119447537,0.892481634689606,-5.14743499015876,2.64072477772604e-07,6.29130914078027e-06
"file_1_file_1_jg2348",1915.01385358977,1.72434690172103,0.336988587516392,5.11692966942734,3.10549351774333e-07,7.3181629852908e-06
"file_1_file_1_jg1294",37.9563792839572,-6.8631567919181,1.34309764771841,-5.10994625266221,3.22250473581564e-07,7.51224759919172e-06
"file_1_file_1_jg2661",2814.31121083309,1.59848899118014,0.313358974593688,5.10114316417074,3.37608056941795e-07,7.78653476010438e-06
"file_1_file_1_jg1010",563.152324057201,-1.65156162694026,0.323935930701565,-5.09842061472892,3.42499111835742e-07,7.81619025747251e-06
"file_1_file_1_jg3223",573.317823118823,-3.0590961798353,0.601315174052398,-5.08734239852848,3.63115913893187e-07,8.2003677220878e-06
"file_1_file_1_jg2779",145.809421958834,-3.7005760406498,0.728297566400328,-5.08113195948218,3.75192359202987e-07,8.38574262631007e-06
"file_1_file_1_jg1752",123.980375335852,-4.57440363431434,0.905659760591681,-5.05090745262417,4.39716088423215e-07,9.72759673164828e-06
"file_1_file_1_jg2259",2202.64621542644,-4.10133183353097,0.812691216000687,-5.04660534380317,4.49728974117369e-07,9.84861026147936e-06
"file_1_file_1_jg1274",211.256608125464,1.7727782031015,0.351503891425899,5.0434098920217,4.5730817035395e-07,9.91444113327365e-06
"file_1_file_1_jg2831",181.715588611974,3.86994407151866,0.770927714935208,5.01985334882389,5.17109423510791e-07,1.09911100997196e-05
"file_1_file_1_jg979",1391.79752505741,2.28553825855842,0.455193604834372,5.02102453612027,5.13965929201116e-07,1.09911100997196e-05
"file_1_file_1_jg1489",355.67782649358,-3.69031401895245,0.735890228249591,-5.01476154633868,5.30992772363989e-07,1.11766245678168e-05
"file_1_file_1_jg2706",305.756901709061,2.13824002311245,0.426797516440962,5.00996360274798,5.44403305623918e-07,1.13487150633909e-05
"file_1_file_1_jg735",3030.94165916035,-2.38740851436112,0.477391297896194,-5.00094686451583,5.70494354375397e-07,1.17793500979606e-05
"file_1_file_1_jg2928",556.826707274729,-2.39598491480363,0.485333826006013,-4.9367770932454,7.94241616352988e-07,1.6163086093835e-05
"file_1_file_1_jg2784",32.4689945672101,3.29678891488814,0.668038098053036,4.93503128713238,8.01379122882438e-07,1.6163086093835e-05
"file_1_file_1_jg1891",420.052853095674,1.80381538256462,0.365580728322616,4.93410960375568,8.05172185486246e-07,1.6163086093835e-05
"file_1_file_1_jg2220",1114.91529698694,-1.41267780288056,0.287118262614272,-4.92019487028735,8.64580883043622e-07,1.71964344443906e-05
"file_1_file_1_jg1171",118.37978239926,1.83308390834826,0.373765239441478,4.90437235706418,9.37265454181989e-07,1.84726500424232e-05
"file_1_file_1_jg540",2080.33825036335,-1.66576747795058,0.340242164191942,-4.89582906900059,9.78921296813023e-07,1.91198321755913e-05
"file_1_file_1_jg1016",1025.73801336915,-1.55850286015775,0.318947463101772,-4.88639365556092,1.02699758343122e-06,1.98364577204666e-05
"file_1_file_1_jg1702",421.802389935978,-2.24011238278742,0.458562829884889,-4.88507187411972,1.03391131107598e-06,1.98364577204666e-05
"file_1_file_1_jg3000",87.1922135811429,-4.50316406849404,0.922625743670201,-4.88081337355759,1.05649186860449e-06,2.00918804485485e-05
"file_1_file_1_jg214",563.105769063291,-2.58013594133144,0.528977315550459,-4.87759279175616,1.07388333637085e-06,2.02450354195827e-05
"file_1_file_1_jg3210",722.691190374002,-2.16605683097107,0.445729981536229,-4.85957176025193,1.17639936809042e-06,2.19864985346554e-05
"file_1_file_1_jg705",618.437889682052,-1.88658813877243,0.389088637585825,-4.84873614011997,1.24250560932092e-06,2.30235227436561e-05
"file_1_file_1_jg1435",72.3176854016434,2.3132228712847,0.477315007985369,4.84632335582376,1.25770467145407e-06,2.31076587094274e-05
"file_1_file_1_jg1926",284.529856120426,1.79068040016789,0.373232977777631,4.79775503984208,1.604538380118e-06,2.92322622529061e-05
"file_1_file_1_jg2620",375.910897464645,-3.52127429687588,0.73586122188838,-4.78524236926023,1.70781120879227e-06,3.08544558388469e-05
"file_1_file_1_jg1722",1355.46098134364,-1.76618036048059,0.369504604102264,-4.77986022602246,1.75417106023376e-06,3.14301062693124e-05
"file_1_file_1_jg723",835.955742706146,-1.79559565062888,0.380458491424037,-4.71955730021443,2.36358462213393e-06,4.16605809820029e-05
"file_1_file_1_jg1541",163.809112754791,-2.40949504924522,0.510401740721123,-4.72078141003391,2.34940316798311e-06,4.16605809820029e-05
"file_1_file_1_jg194",97.8460526034401,1.91205300801067,0.405906725282652,4.7105723776299,2.47022053066934e-06,4.31890170200898e-05
"file_1_file_1_jg2621",157.737268043152,-3.80979688210246,0.809861862816526,-4.70425520329208,2.54794375432002e-06,4.41915364749265e-05
"file_1_file_1_jg2313",691.813103305726,-1.60073691923105,0.340441990397549,-4.70193737664909,2.57704545255866e-06,4.43415439773585e-05
"file_1_file_1_jg503",82.9449181876321,2.12346819147336,0.451884433442922,4.69913994446452,2.61259388829539e-06,4.45992405497985e-05
"file_1_file_1_jg2358",49.8469047848413,-2.57069355157484,0.548434993969931,-4.68732589976887,2.76797997502195e-06,4.68826608269342e-05
"file_1_file_1_jg1098",504.024029385057,-2.3102584394223,0.494596077459306,-4.67100032675124,2.99736462398585e-06,5.03743139907079e-05
"file_1_file_1_jg1368",40.349465322176,-4.2367515392623,0.907344649447532,-4.66939606889399,3.02086478067848e-06,5.03787295731611e-05
"file_1_file_1_jg1865",20188.9542675558,2.99402003601089,0.646155273084819,4.63359220411079,3.59374585016434e-06,5.94751221614984e-05
"file_1_file_1_jg1299",181.283653560881,-2.10865583187419,0.455848042095338,-4.62578674722743,3.73179114383832e-06,6.12757470780263e-05
"file_1_file_1_jg2876",419.810507928337,-1.90584861469705,0.412139815384398,-4.62427686808054,3.75907488993427e-06,6.12757470780263e-05
"file_1_file_1_jg2477",3560.22559893352,2.38517714544642,0.516689120466992,4.61627127602506,3.90696176042576e-06,6.3042204909652e-05
"file_1_file_1_jg2924",779.079417671201,-1.6797574579229,0.363955455322398,-4.61528308851681,3.92559855295342e-06,6.3042204909652e-05
"file_1_file_1_jg1792",74.7214945665563,-2.00785050315067,0.435325013310164,-4.61230216909247,3.98233502729042e-06,6.34831054350415e-05
"file_1_file_1_jg1276",6905.18881472002,-2.83905169922287,0.617324964752656,-4.5989581846255,4.24608990401641e-06,6.71935978971355e-05
"file_1_file_2_3092_g",344.580621882028,-3.24476913752036,0.708798287021737,-4.5778456253815,4.69789174504193e-06,7.38045601684848e-05
"file_1_file_1_jg2388",497.340424160277,3.30907409208011,0.724998869765738,4.56424724241203,5.01289740874494e-06,7.81867739723671e-05
"file_1_file_1_jg1240",861.086904333826,-1.98461448915988,0.43556285285501,-4.55643651921005,5.20287536610316e-06,8.01829593961845e-05
"file_1_file_1_jg2613",20.6371747049149,-7.77284604752583,1.70608552358844,-4.55595334469345,5.21485114154152e-06,8.01829593961845e-05
"file_1_file_1_jg1124",1583.06322361045,-1.97371590564694,0.433399864751404,-4.55402981442797,5.26278922654469e-06,8.03501904447105e-05
"file_1_file_1_jg2713",1110.11176688512,-2.25370893039409,0.495259015115257,-4.55056619185337,5.35017526596025e-06,8.11131466895232e-05
"file_1_file_1_jg1459",3139.52952271722,-2.38716574417201,0.525168393681711,-4.5455243934935,5.47986499501239e-06,8.22443037964746e-05
"file_1_file_1_jg931",15.6688066692594,6.51263323826523,1.43300876322317,4.54472673538773,5.50065684985646e-06,8.22443037964746e-05
"file_1_file_1_jg2551",683.556670918629,-1.71259015103342,0.379615830251327,-4.51137706744102,6.44081077198327e-06,9.56416284497242e-05
"file_1_file_1_jg1642",431.944202918891,-1.97286094573128,0.437583571452747,-4.50853522489776,6.52767324670544e-06,9.62720789037917e-05
"file_1_file_1_jg573",34.4330907512846,4.13122689516829,0.917611987443365,4.50215009361271,6.72694466365628e-06,9.787930222018e-05
"file_1_file_1_jg2821",248.269177107901,-2.68780144709017,0.596982236137476,-4.50231394568867,6.72175908512423e-06,9.787930222018e-05
"file_1_file_1_jg2813",143.082223371829,2.66925222142791,0.593334458844802,4.4987311652602,6.83602370921786e-06,9.88033293438954e-05
"file_1_file_1_jg1327",1723.10653914553,-2.03528950199478,0.453346176564282,-4.48948200560414,7.13965780061542e-06,0.000102508464316121
"file_1_file_1_jg986",624.802070648844,-2.71985625113078,0.606750237652655,-4.48266202853605,7.37176313756559e-06,0.000105144621593699
"file_1_file_1_jg2771",303.506369119309,-4.21078065934029,0.94601300316413,-4.45108116406063,8.54390394837756e-06,0.000121066560523415
"file_1_file_1_jg2517",4997.83288081116,-1.95987351015704,0.441343493397574,-4.4406987742573,8.96672361281252e-06,0.000126232836315439
"file_1_file_1_jg2566",131.123348168228,-3.47380346420089,0.786531562840965,-4.41661037944041,1.00260713556305e-05,0.000140235630316174
"file_1_file_1_jg2274",551.321449894221,-2.20189233536824,0.50186319369101,-4.38743538687142,1.14695050552876e-05,0.000159396711281177
"file_1_file_1_jg2994",387.324036935771,-2.17147314801034,0.495557858809368,-4.38187612083791,1.17661706988946e-05,0.000162478076912124
